Comment Thread #,Author Name,Comment Text,Like Count,Published Date,Total Reply Count
1,Kellie Tipton,"After 4.5 years, I have finally graduated with my bachelors degree. I just finished finals a week ago and I wanted to come back by and thank you for making this video. I watched this video countless times and studied ""with"" you when I didn't think I could possibly get it all done by the deadline. Endless cramming and work on assignments can be lonely stuff, so it was nice to have it feel like someone was there working hard alongside me. Thank you for studying with me all those times ❤",20K,2 years ago,102
1,Hol Mae,Congratulations,183,2 years ago,0
1,Mohd Saif,Congrats,60,2 years ago,0
1,COREY WILLIAMS,congrats!,47,2 years ago,0
1,weaboo trash likes cats,Very inspiring and congratulations!!,65,2 years ago,0
1,Andres,"Yeah,  even though the idea of recording yourself while studying so later on others can see you sounds a bit creepy, there is no denying that it has helped a lot of people. I do feel lonely sometimes too but watching these videos while studying has given me enormous peace and focus. Congratulations for obtaining your bachelors degree",175,2 years ago,0
1,COREY WILLIAMS,"Yeah I don't sit down and study with her, but I do watch her videos to stay motivated. I love that woman. lmao",26,2 years ago,0
1,Charity Ann G,"Kellie Tipton I've never realized until reading this.... you're right, it gets really lonely lol.",38,2 years ago,0
1,lily high,"This is absolutely precious, I'm so happy for you!",16,2 years ago,0
1,мαяιє,I know what you mean. I tend to get distracted easily so every time i look up and see her doing work it encourages me to try my best and not give up.,81,2 years ago,0
1,Cremedalemer,Congratulations!,5,2 years ago,0
1,Siddhant Choyal,CONGO!!!!!!!1,3,2 years ago,0
1,Beatriz Isaac,congrats!,2,2 years ago,0
1,costas savva,Congtatulations and good luck :),3,2 years ago,0
1,Epic wave,congrats! And probably the biggest study group in the world!!! Keep the videos coming :D,16,2 years ago,0
1,ipiesings,CONGRATZZZ,1,2 years ago,0
1,아무데서나 운동하다: Workout Anywhere,I didn't realize this one can be used by people like you. Amazing realization! Thanks for sharing your thoughts and feelings.,8,2 years ago,0
1,John Caruthers,Congrats!!,2,2 years ago,0
1,Manifestation vibration,Awww  ❤❤❤,2,2 years ago,0
1,Vir SM,Kellie Tipton i,2,2 years ago,0
1,put some respeck on ma name,That's so sweet <3,2,2 years ago,0
1,ξ,"Ah I totally feel you! Cramming and staying up late working on assignments is definitely really lonely ;-; I find myself stuck in my room alone, typing. I need background noise, and sometimes I stop to watch vlogs, just so I don't feel lonely ;p",6,2 years ago,0
1,MegaAkselerator,Thats sweet. Congrats on you bachelor,2,2 years ago,0
1,Ignatius Mugisha,that is soo sweet. proud of you kellie,1,2 years ago,0
1,trâm lê,<3,2,2 years ago,0
1,Darling Bach,Kellie Tipton Congratulations ❤❤ Your Comment Made My Day :),3,2 years ago,0
1,Hoa Hua,Congratulations :D,2,2 years ago,0
1,Jaco,THANKS I NEEDED THIS,2,2 years ago,0
1,Irene's Tunes,Congratulations boo!,2,2 years ago,0
1,김상연,Congratulations!! :),2,2 years ago,0
1,Keyyy R.,"wow, so eye-opening to see how this video helped you to gain your degree",5,2 years ago,0
1,CHRISTOPHER,"Feliz por seu testemunho, torço pela sucesso das pessoas, continue avante...",2,1 year ago,0
1,Catstronaut,This is beautiful <3 :),2,1 year ago,0
1,Cole Williams,This is truly a beautiful comment!,2,1 year ago,0
1,agelos Ν,samee hereee <3,1,1 year ago,0
1,Gentlehumain,I cried when I read this,5,1 year ago,0
1,Adam C,im 6 years in my bachelors degree :(,4,1 year ago,0
1,nepupu,"Congrats!
Wish me luck, I want to be a doctor in the future.
I'm working hard.",3,1 year ago,0
1,Chase Louie,@nepupu Me too! (I think? I'm not sure yet of what I want to do.. but I'm thinking of majoring in Biology for right now). Good luck to you and your future. You can do it. :),0,1 year ago,0
1,nepupu,"@Chase Louie thank you, so much!",1,1 year ago,0
1,- iiGlitchKidii -,Congratulations and good luck for the real world,2,1 year ago,0
1,Alex Anderson,This is awesome. Congratulations! :),1,1 year ago,0
1,k,awh okay this is so cute,1,1 year ago,0
1,sabah EL BEKRI,.,0,1 year ago,0
1,Cheryl Yap,congratulation !,1,1 year ago,0
1,Salma louhichi,This made me more motivated ❤,4,1 year ago,0
1,nella teea,nice :),1,1 year ago,0
1,thivy thaya,"thank God you did amazingly truly, God Bless truly",1,1 year ago,0
1,StudyWithJosh,come check out my study video!,0,1 year ago,0
1,Rusty Pistol,This comment is so wholesome,1,1 year ago,0
1,Splash,Congratulations!,1,1 year ago,0
1,Edward Musk,Congratulations 🥳,1,1 year ago,0
1,Hanh,Did you watch the video without music? I don't know what's best for me.,0,1 year ago,0
1,DaRUde117,why couldn't you just study alone? you crave for attention or somethin?,0,1 year ago,0
1,Trường Trương,Kellie Tipton what was your major?,0,1 year ago,0
1,jackie h,i’m crying in the club,1,1 year ago,0
1,Captain Teemo,"Congrats, this is so wholesome.",1,1 year ago,0
1,Suyashi Mehta,Congratulations,1,1 year ago,0
1,911eVoX,"woah, most people do that in 3-4 years",0,1 year ago,0
1,SOURABH RAJPUT,"Go watch this video of real time studying 

https://youtu.be/0PTTopKMDD0",0,1 year ago,0
1,eLearning,Congratulations!,1,1 year ago,0
1,quang tram,Congrats!!,1,1 year ago,0
1,Lucia Richardson,On reflection for me uni was not so bad.,0,1 year ago,0
1,Shelley Ribbons,"Congrats, hows your life now?",0,1 year ago,0
1,a,so happy for you! congratulations!!,1,1 year ago,0
